frame_start, 187, frame_end, 227, speed, 52.13 
frame_start, 253, frame_end, 293, speed, 50.51 
frame_start, 295, frame_end, 335, speed, 48.83 
frame_start, 384, frame_end, 424, speed, 49.16 
frame_start, 414, frame_end, 454, speed, 48.44 
frame_start, 478, frame_end, 518, speed, 58.33 
frame_start, 575, frame_end, 615, speed, 53.55 
frame_start, 869, frame_end, 909, speed, 50.84 
frame_start, 2129, frame_end, 2169, speed, 21.51 
frame_start, 2167, frame_end, 2207, speed, 19.33 
frame_start, 2265, frame_end, 2305, speed, 24.87 
frame_start, 2319, frame_end, 2359, speed, 30.53 
frame_start, 2505, frame_end, 2545, speed, 57.07 
frame_start, 2569, frame_end, 2609, speed, 50.59 
frame_start, 2612, frame_end, 2652, speed, 51.02 
frame_start, 2665, frame_end, 2705, speed, 48.42 
frame_start, 2727, frame_end, 2767, speed, 51.11 
frame_start, 2760, frame_end, 2800, speed, 44.33 
frame_start, 2860, frame_end, 2900, speed, 50.03 
frame_start, 3034, frame_end, 3074, speed, 42.23 
frame_start, 3101, frame_end, 3141, speed, 52.97 
frame_start, 3225, frame_end, 3265, speed, 50.06 
frame_start, 3354, frame_end, 3394, speed, 55.83 
frame_start, 3500, frame_end, 3540, speed, 54.43 
frame_start, 4640, frame_end, 4680, speed, 24.78 
frame_start, 4714, frame_end, 4754, speed, 30.1 
frame_start, 4765, frame_end, 4805, speed, 34.74 
frame_start, 4827, frame_end, 4867, speed, 38.09 
frame_start, 4873, frame_end, 4913, speed, 40.95 
frame_start, 4913, frame_end, 4953, speed, 42.39 
frame_start, 4990, frame_end, 5030, speed, 40.4 
frame_start, 5080, frame_end, 5120, speed, 45.87 
frame_start, 5110, frame_end, 5150, speed, 37.65 
frame_start, 5162, frame_end, 5202, speed, 48.45 
frame_start, 5223, frame_end, 5263, speed, 49.76 
frame_start, 5271, frame_end, 5311, speed, 50.71 
frame_start, 5375, frame_end, 5415, speed, 51.07 
frame_start, 5430, frame_end, 5470, speed, 54.07 
frame_start, 5528, frame_end, 5568, speed, 55.71 
frame_start, 5584, frame_end, 5624, speed, 51.52 
frame_start, 5615, frame_end, 5655, speed, 48.9 
frame_start, 5738, frame_end, 5778, speed, 54.33 
