Carro 1,56.65,58.612,3.5%
Carro 2,53.74,49.61,7.7%
Carro 3,49.06,47.208,3.8%
Carro 4,48.89,47.213,3.4%
Carro 7,52.86,47.21,10.7%
Carro 8,54.23,51.601,4.8%
Carro 9,52.39,47.422,9.5%
Carro 10,54.76,54.424,0.6%
Carro 10,54.76,19.061,65.2%
Carro 10,54.76,5.7,89.6%
Carro 10,54.76,6.106,88.8%
Carro 10,54.76,7.187,86.9%
Carro 10,54.76,8.783,84.0%
Carro 10,54.76,10.7,80.5%
Carro 10,54.76,11.327,79.3%
Carro 10,54.76,11.861,78.3%
Carro 13,27.55,20.857,24.3%
Carro 15,35.56,28.642,19.5%
Carro 18,51.53,48.992,4.9%
Carro 22,56.6,51.578,8.9%
Carro 23,51.47,53.479,3.9%
Carro 24,55.25,54.376,1.6%
Carro 25,56.96,49.699,12.7%
Carro 26,56.86,56.667,0.3%
Carro 28,36.7,38.317,4.4%
Carro 30,47.7,24.103,49.5%
Carro 34,49.79,50.267,1.0%
Carro 35,53.69,55.227,2.9%
