Carro 1,Carro 1,56.65,ok
Carro 2,Carro 2,53.74,ok
Carro 3,Carro 3,49.06,ok
Carro 4,Carro 4,48.89,ok
Carro 5,Carro 5,56.01,ok
Carro 6,Carro 6,51.12,ok
Carro 7,Carro 7,52.86,ok
Carro 8,Carro 8,54.23,ok
Carro 9,Carro 9,52.39,ok
Carro 10,Carro 10,54.76,ok
Carro 11,,53.55,1078
Carro 12,Carro 11,16.69,ok
Carro 13,Carro 12,22.13,ok
Carro 14,Carro 13,27.55,ok
Carro 15,Carro 14,31.31,ok
Carro 16,Carro 15,35.56,ok
Carro 17,Carro 16,48.86,ok
Carro 18,Carro 17,50.03,ok
Carro 19,,51.53,2802
Carro 20,Carro 18,51.53,ok
Carro 21,Carro 19,48.87,ok
Carro 22,Carro 20,46.56,ok
Carro 23,Carro 21,43.53,ok
Carro 24,Carro 22,56.6,ok
Carro 25,Carro 23,51.47,ok
Carro 26,Carro 24,55.25,ok
Carro 27,Carro 25,56.96,ok
Carro 28,Carro 26,56.86,ok
Carro 29,Carro 27,19.82,ok
Carro 30,,23.44,4779
Carro 31,,31.19,4829
Carro 32,,43.92,4906
Carro 33,,35.29,4963
Carro 34,Carro 28,36.7,ok
Carro 35,,42.86,5142
Carro 36,Carro 29,46.37,
Carro 37,Carro 30,47.7,
Carro 38,Carro 31,47.98,
Carro 39,Carro 32,47.74,
Carro 40,Carro 33,50.88,
Carro 41,Carro 34,49.79,
Carro 42,Carro 35,53.69,
